ID,Date,Close/Last,Volume,Open,High,Low
936,12/22/2020,131.88,169351800,131.61,134.405,129.65
937,12/21/2020,128.23,121251600,125.02,128.31,123.449
938,12/18/2020,126.655,192541500,128.96,129.10,126.12
939,12/17/2020,128.70,94359810,128.90,129.58,128.045
940,12/16/2020,127.81,98208590,127.41,128.37,126.56
941,12/15/2020,127.88,157572300,124.34,127.90,124.13
942,12/14/2020,121.78,79075990,122.60,123.35,121.54
943,12/11/2020,122.41,86939790,122.43,122.76,120.55
944,12/10/2020,123.24,81312170,120.50,123.87,120.15
945,12/09/2020,121.78,115089200,124.53,125.95,121.00
946,12/08/2020,124.38,82225510,124.37,124.98,123.09
947,12/07/2020,123.75,86711990,122.31,124.57,122.25
948,12/04/2020,122.25,78260420,122.60,122.8608,121.52
949,12/03/2020,122.94,78967630,123.52,123.78,122.21
950,12/02/2020,123.08,89004200,122.02,123.37,120.89
951,12/01/2020,122.72,128166800,121.01,123.4693,120.01
952,11/30/2020,119.05,169410200,116.97,120.97,116.81
953,11/27/2020,116.59,46691330,116.57,117.49,116.22
954,11/25/2020,116.03,76499230,115.55,116.75,115.17
955,11/24/2020,115.17,113874200,113.91,115.85,112.59
956,11/23/2020,113.85,127959300,117.18,117.6202,113.75
957,11/20/2020,117.34,73604290,118.64,118.77,117.29
958,11/19/2020,118.64,74112970,117.59,119.06,116.81
959,11/18/2020,118.03,76322110,118.61,119.82,118.00
960,11/17/2020,119.39,74270970,119.55,120.6741,118.96
961,11/16/2020,120.30,91183020,118.92,120.99,118.146
962,11/13/2020,119.26,81688590,119.44,119.6717,117.87
963,11/12/2020,119.21,103350700,119.62,120.53,118.57
964,11/11/2020,119.49,112295000,117.19,119.63,116.44
965,11/10/2020,115.97,138023400,115.55,117.59,114.13
966,11/09/2020,116.32,154515300,120.50,121.99,116.05
967,11/06/2020,118.69,114457900,118.32,119.20,116.13
968,11/05/2020,119.03,126387100,117.95,119.62,116.8686
969,11/04/2020,114.95,138235500,114.14,115.59,112.35
970,11/03/2020,110.44,107624400,109.66,111.49,108.73
971,11/02/2020,108.77,122866900,109.11,110.68,107.32
972,10/30/2020,108.86,190573500,111.06,111.99,107.72
973,10/29/2020,115.32,146129200,112.37,116.93,112.20
974,10/28/2020,111.20,143937800,115.05,115.43,111.10
975,10/27/2020,116.60,92276770,115.49,117.28,114.5399
976,10/26/2020,115.05,111850700,114.01,116.55,112.88
977,10/23/2020,115.04,82572650,116.39,116.55,114.28
978,10/22/2020,115.75,101988000,117.45,118.04,114.59
979,10/21/2020,116.87,89945980,116.67,118.705,116.45
980,10/20/2020,117.51,124423700,116.20,118.98,115.63
